action, angle, velocity, Q
Off, 7, 93, 0
Off, 7, 94, 0
Off, 7, 95, 0
Off, 7, 96, 0
Off, 7, 97, 0
Off, 7, 98, 0
Off, 7, 99, 0
Off, 8, 0, 0
Off, 8, 1, 0
Off, 8, 2, 0
Off, 8, 3, 0
Off, 8, 4, 0
Off, 8, 5, 0
Off, 8, 6, 0
Off, 8, 7, 0
Off, 8, 8, 0
Off, 8, 9, -63.9973
Off, 8, 10, 0
Off, 8, 11, 0
Off, 8, 12, 0
Off, 8, 13, 0
Off, 8, 14, 0
Off, 8, 15, 0
Off, 8, 16, 0
Off, 8, 17, 0
Off, 8, 18, -39.1034
Off, 8, 19, -36.3189
Off, 8, 20, 0
Off, 8, 21, -31.7314
Off, 8, 22, 0
Off, 8, 23, -28.932
Off, 8, 24, 0
Off, 8, 25, 0
Off, 8, 26, -21.7327
Off, 8, 27, 0
Off, 8, 28, -17.9964
Off, 8, 29, -16.8955
Off, 8, 30, -15.6639
Off, 8, 31, 0
Off, 8, 32, 0
Off, 8, 33, 0
Off, 8, 34, 0
Off, 8, 35, -8.58627
Off, 8, 36, 0
Off, 8, 37, 0
Off, 8, 38, -4.9182
Off, 8, 39, 0
Off, 8, 40, 0
Off, 8, 41, 0
Off, 8, 42, 0
Off, 8, 43, -1.68163
Off, 8, 44, -1.24551
Off, 8, 45, -0.899129
Off, 8, 46, 0
Off, 8, 47, -0.449319
Off, 8, 48, -0.339201
Off, 8, 49, -0.255792
Off, 8, 50, -0.326432
Off, 8, 51, 0
Off, 8, 52, -0.640524
Off, 8, 53, 0
Off, 8, 54, -1.29215
Off, 8, 55, -1.78175
Off, 8, 56, -2.39812
Off, 8, 57, -2.47124
Off, 8, 58, 0
Off, 8, 59, -4.04921
Off, 8, 60, -5.0143
Off, 8, 61, 0
Off, 8, 62, 0
Off, 8, 63, -8.31043
Off, 8, 64, -9.17619
Off, 8, 65, -10.0416
Off, 8, 66, -10.9958
Off, 8, 67, -12.2188
Off, 8, 68, -13.9549
Off, 8, 69, 0
Off, 8, 70, -18.2128
Off, 8, 71, -18.4644
Off, 8, 72, 0
Off, 8, 73, -22.3175
Off, 8, 74, -24.3655
Off, 8, 75, -25.7778
Off, 8, 76, -29.0625
Off, 8, 77, -30.1271
Off, 8, 78, -34.171
Off, 8, 79, -35.0442
Off, 8, 80, 0
Off, 8, 81, 0
Off, 8, 82, 0
Off, 8, 83, 0
Off, 8, 84, 0
Off, 8, 85, 0
Off, 8, 86, 0
Off, 8, 87, 0
Off, 8, 88, 0
Off, 8, 89, 0
Off, 8, 90, 0
Off, 8, 91, 0
Off, 8, 92, 0
Off, 8, 93, 0
Off, 8, 94, 0
Off, 8, 95, 0
Off, 8, 96, 0
Off, 8, 97, 0
Off, 8, 98, 0
Off, 8, 99, 0
Off, 9, 0, 0
Off, 9, 1, 0
Off, 9, 2, 0
Off, 9, 3, 0
Off, 9, 4, 0
Off, 9, 5, 0
Off, 9, 6, 0
Off, 9, 7, 0
Off, 9, 8, 0
Off, 9, 9, 0
Off, 9, 10, 0
Off, 9, 11, 0
Off, 9, 12, 0
Off, 9, 13, 0
Off, 9, 14, 0
Off, 9, 15, 0
Off, 9, 16, 0
Off, 9, 17, 0
Off, 9, 18, 0
Off, 9, 19, -37.2029
Off, 9, 20, -35.6217
Off, 9, 21, -31.3252
Off, 9, 22, 0
Off, 9, 23, 0
Off, 9, 24, -25.8744
Off, 9, 25, 0
Off, 9, 26, -21.8853
Off, 9, 27, 0
Off, 9, 28, 0
Off, 9, 29, 0
Off, 9, 30, 0
Off, 9, 31, -13.9579
Off, 9, 32, -11.6457
Off, 9, 33, 0
Off, 9, 34, 0
Off, 9, 35, -8.91324
Off, 9, 36, -7.35417
Off, 9, 37, -6.55582
Off, 9, 38, -5.05696
Off, 9, 39, 0
Off, 9, 40, -3.94913
Off, 9, 41, -3.01954
Off, 9, 42, -2.3031
Off, 9, 43, 0
Off, 9, 44, -1.51654
Off, 9, 45, 0
Off, 9, 46, 0
Off, 9, 47, -0.58047
Off, 9, 48, 0
Off, 9, 49, -0.382845
Off, 9, 50, 0
Off, 9, 51, 0
Off, 9, 52, -0.630374
Off, 9, 53, 0
Off, 9, 54, -1.08789
Off, 9, 55, 0
Off, 9, 56, -1.98293
Off, 9, 57, -2.93012
Off, 9, 58, -3.39465
Off, 9, 59, -4.56256
Off, 9, 60, -4.86459
Off, 9, 61, -5.426
Off, 9, 62, -6.68771
Off, 9, 63, -13.732
Off, 9, 64, -9.50715
Off, 9, 65, -9.7834
Off, 9, 66, -11.1604
Off, 9, 67, -13.1131
Off, 9, 68, -14.5269
Off, 9, 69, 0
Off, 9, 70, 0
Off, 9, 71, -19.6721
Off, 9, 72, 0
Off, 9, 73, -23.0275
Off, 9, 74, -43.3975
Off, 9, 75, 0
Off, 9, 76, -52.5935
Off, 9, 77, -31.3404
Off, 9, 78, -32.4254
Off, 9, 79, -35.83
Off, 9, 80, 0
Off, 9, 81, 0
Off, 9, 82, 0
Off, 9, 83, 0
Off, 9, 84, 0
Off, 9, 85, 0
Off, 9, 86, 0
Off, 9, 87, 0
Off, 9, 88, 0
Off, 9, 89, 0
Off, 9, 90, 0
Off, 9, 91, 0
Off, 9, 92, 0
Off, 9, 93, 0
Off, 9, 94, 0
Off, 9, 95, 0
Off, 9, 96, 0
Off, 9, 97, 0
Off, 9, 98, 0
Off, 9, 99, 0
Off, 10, 0, 0
Off, 10, 1, 0
Off, 10, 2, 0
Off, 10, 3, 0
Off, 10, 4, 0
Off, 10, 5, 0
Off, 10, 6, 0
Off, 10, 7, 0
Off, 10, 8, 0
Off, 10, 9, 0
Off, 10, 10, 0
Off, 10, 11, 0
Off, 10, 12, 0
Off, 10, 13, 0
Off, 10, 14, -48.777
Off, 10, 15, 0
Off, 10, 16, 0
Off, 10, 17, 0
Off, 10, 18, 0
Off, 10, 19, -36.2479
Off, 10, 20, -34.5659
Off, 10, 21, -31.2039
Off, 10, 22, 0
Off, 10, 23, -28.7237
Off, 10, 24, 0
Off, 10, 25, 0
Off, 10, 26, 0
Off, 10, 27, -20.4905
Off, 10, 28, -18.3836
Off, 10, 29, -16.8937
Off, 10, 30, 0
Off, 10, 31, -14.0492
Off, 10, 32, 0
Off, 10, 33, -11.1139
Off, 10, 34, -9.43567
Off, 10, 35, -8.315
Off, 10, 36, -7.2892
Off, 10, 37, 0
Off, 10, 38, 0
Off, 10, 39, 0
Off, 10, 40, -4.10817
Off, 10, 41, -2.91576
Off, 10, 42, 0
